model,dataset,d_effective,r2_val,v_eps01,v_eps05,v_eps10,n_pairs_eps01,n_pairs_eps05,n_pairs_eps10,lip_q50,lip_q90,lip_q95,lip_q99,lip_tail_ratio,lip_mean,lip_std,tau,diameter,n_folds
rf,power_grid_stability,12,0.814782985793253,0.0,0.013793103448275862,0.4901254730051921,27,28,129,0.008603484898780277,0.021883136919098316,0.026596925180440358,0.03593381340700259,0.6207959189817382,0.0104181992990903,0.008245314632621169,0.008318557306015287,11.416424280720108,5
ridge,power_grid_stability,12,0.6456576471563643,0.0,0.0,0.0,27,27,27,0.00639455593841301,0.01453201632678921,0.01688794728014367,0.020695161980518694,0.5101031660589869,0.007238484780730999,0.00509258878003662,0.008896501165947415,6.330718216346676,5
xgb,power_grid_stability,12,0.9257321737808972,0.0,0.033793103448275866,0.5289554972390793,27,28,129,0.011300058263537319,0.028455220243817542,0.03416292410030951,0.045617817644566204,0.6060038418184281,0.013629249300463117,0.010601039802331524,0.010377058759331703,11.416424280720108,5
chebypoly,power_plant,4,0.9411952692867919,0.0,0.007820443292247525,0.15550120893251468,106,3855,26001,0.6411715440910241,1.5550479074794832,1.7851644968196898,2.1865909752702004,0.5328265063132746,0.7468604909901917,0.5444157946856358,4.968833309264868,49.86142329586991,5
chebytree,power_plant,4,0.9440962521156047,0.0,0.0501465588494282,0.1884209995069636,106,3855,26001,0.6197037347262191,1.7568650818102713,2.133533407502473,3.001873682674727,0.6839657023054331,0.7993677191698731,0.6974765853994291,4.988787575013916,49.86142329586991,5
dt,power_plant,4,0.9387457464213156,0.0,0.08464087762877673,0.2139456155380024,106,3855,26001,0.6055000979514877,1.9606165932212078,2.4146185198088075,3.501785898552528,0.7625289265141674,0.8066448273852618,0.8692889201724047,4.970008310406365,49.86142329586991,5
erbf,power_plant,4,0.9476514778687527,0.0,0.02920900122170168,0.18229192779498432,106,3855,26001,0.659766870413826,1.6810331080400212,1.995729289629148,2.6867673926782887,0.6097440923017234,0.8020386245545319,0.6284791017515541,4.992680941427674,49.86142329586991,5
rf,power_plant,4,0.9468630963598421,0.0,0.024893917978549673,0.15241317824253797,106,3855,26001,0.5518482872085769,1.534311612433028,1.8230357722568518,2.466060619311522,0.6502342752438287,0.6965795464283425,0.5900514101130893,4.907908135376643,49.86142329586991,5
ridge,power_plant,4,0.928522650410104,0.0,0.0,0.051840268873131576,77,2632,20122,6.011596635218547,12.238656691040433,13.41006570215363,14.607049541848573,0.3855804895857496,6.384356100145351,4.042596037329852,4.932673083633487,4.568562417310547,5
xgb,power_plant,4,0.9608046496140601,0.0,0.13794608542284129,0.2765830159250683,106,3855,26001,0.8572038206226138,2.285855985143847,2.863121413335145,4.352908248735863,0.7050525955948744,1.0877045745701044,0.9619840972322964,5.025399684906006,49.86142329586991,5
chebypoly,qm7,14,0.7739257068920595,0.003226486002661693,0.11423215428398785,0.5107530002816694,1406,6445,25113,19.203214743918345,48.794305456486605,56.52350421029308,79.8435456770063,0.6192809128339766,24.067444589196384,24.741207105447838,59.7737606148076,48.70073108931361,5
