model,dataset,rho_mean,rho_std,r2_val,n_folds
dt,food_delivery_time,0.1925161873722737,0.008298286143277099,0.27807151403933855,5
erbf,food_delivery_time,0.23640815237991383,0.00923512551796398,0.2526153759266637,5
rf,food_delivery_time,0.21822645618190833,0.007736716935562204,0.2842480414203094,5
ridge,food_delivery_time,0.10009885121432768,0.004323220823508029,0.18088615547803716,5
xgb,food_delivery_time,0.43637496184960173,0.013823153836697574,0.34589631507780505,5
chebypoly,freesolv,0.943827282866609,0.024053331292108668,0.8889299811760809,5
chebytree,freesolv,0.9056715488895941,0.04896064223474515,0.8871532899381878,5
dt,freesolv,0.8463094645040125,0.09082459695987548,0.7879292302976014,5
erbf,freesolv,0.9465612332911176,0.048726694923063404,0.8880950357934114,5
rf,freesolv,0.8124918674307648,0.05525743689353465,0.8804141200770583,5
ridge,freesolv,0.6997845662435066,0.03181681819001765,0.8277590357709567,5
xgb,freesolv,0.8649504352362953,0.04099827647889564,0.8845063151961051,5
chebypoly,friedman1,0.9221183222898393,0.00982875022488011,0.9232876795967921,5
chebytree,friedman1,0.9653288535486894,0.019747740664723047,0.9482456841285767,5
dt,friedman1,1.0056603738648264,0.031632139021646584,0.7520108920035297,5
erbf,friedman1,0.9970719845556409,0.0053408102384721115,0.9983533925414093,5
rf,friedman1,0.7433886635449203,0.03729197594941558,0.8829699976775054,5
ridge,friedman1,0.6836440117990744,0.011225027674766718,0.7416597863645437,5
xgb,friedman1,0.9519574705942722,0.028742494703448456,0.9615898796172733,5
chebypoly,friedman1_d100,0.9461335184801566,0.01276799591482475,0.921738665710194,5
chebytree,friedman1_d100,0.9761613753180128,0.01140314251355674,0.9458060505512854,5
dt,friedman1_d100,0.9274058260104934,0.02382365345767677,0.7364362630133846,5
erbf,friedman1_d100,1.002214746106795,0.001863653043802033,0.9983854844318018,5
rf,friedman1_d100,0.8263061360274744,0.017160157089567307,0.86470300341838,5
ridge,friedman1_d100,0.7722376012162553,0.015351886954034048,0.7414619529575276,5
xgb,friedman1_d100,0.9218131188397475,0.022137798581595237,0.9342705736772331,5
chebypoly,healthcare_insurance,0.5495629440999322,0.0732810310828453,0.8335159176927546,5
chebytree,healthcare_insurance,0.529197885033623,0.066476771057949,0.8565475057542222,5
dt,healthcare_insurance,0.5376101130555577,0.07324024028717843,0.8412249361780482,5
erbf,healthcare_insurance,0.5686913471581183,0.08603141292432967,0.8396557011704282,5
rf,healthcare_insurance,0.47620201337290097,0.07092308120176986,0.8556976396030889,5
ridge,healthcare_insurance,0.4337333993568272,0.04329532267354522,0.7349685111212297,5
xgb,healthcare_insurance,0.6051973847024337,0.11088299029589072,0.8457153736772579,5
chebypoly,house_16H,0.8310512522404518,0.01899671130384615,0.5084392557619979,5
chebytree,house_16H,0.7543748036030068,0.029110504089685622,0.5020234535375174,5
dt,house_16H,0.6326657297994804,0.016882674619580512,0.42290211435688174,5
erbf,house_16H,0.7999945320665136,0.020895864867135308,0.4910868255831143,5
