model,dataset,rho_mean,rho_std,r2_val,n_folds
xgb,pmlb_529_pollen,0.6667457898699788,0.02484193381055171,0.7404864731419044,5
chebypoly,pmlb_547_no2,0.8316900730081753,0.071196696308735,0.5469861785992738,5
chebytree,pmlb_547_no2,0.8060728462213277,0.05879229715305942,0.5511497506277416,5
dt,pmlb_547_no2,0.7333087012136642,0.032961594743975864,0.478279206048994,5
erbf,pmlb_547_no2,0.7745033053986158,0.06791405772991464,0.595316759162539,5
rf,pmlb_547_no2,0.7262862424189642,0.03322750089418149,0.6062577418269303,5
ridge,pmlb_547_no2,0.5193236541410554,0.05103346959596733,0.48533155766457553,5
xgb,pmlb_547_no2,0.7272935234010982,0.06270941052298196,0.5277090445825229,5
chebypoly,pol,0.83000765107899,0.06386695290790594,0.8687431928507523,5
chebytree,pol,0.7086110417244458,0.08042199915817874,0.9570853983227158,5
dt,pol,0.6131519026793597,0.03736268551490532,0.9260377620139811,5
erbf,pol,0.7832093211974616,0.058641747553448094,0.9491354285629914,5
rf,pol,0.5681186920301731,0.03792905243001278,0.949848653718916,5
ridge,pol,0.5398935626132826,0.047706257224146224,0.4654507412734102,5
xgb,pol,0.6777658078705303,0.050777261956108474,0.9715679972185127,5
chebypoly,power_grid_stability,0.9116854783533077,0.011483222338061356,0.8947502152440565,5
chebytree,power_grid_stability,0.9449526744552745,0.0064897470375505075,0.8965186299077427,5
dt,power_grid_stability,0.8740914699244348,0.036673029345467935,0.6894931044591754,5
erbf,power_grid_stability,0.9623957863980619,0.0040160511279153845,0.950853372837507,5
rf,power_grid_stability,0.7151540287053615,0.010176949057368469,0.814782985793253,5
ridge,power_grid_stability,0.6577882078130571,0.010013252099017544,0.6456576471563643,5
xgb,power_grid_stability,0.9356075450556917,0.01410760458800484,0.9257321737808972,5
chebypoly,power_plant,0.4834441643929409,0.00584136402323144,0.9411952692867919,5
chebytree,power_plant,0.5175654788406655,0.019825573194517804,0.9440962521156047,5
dt,power_plant,0.5221408054999781,0.021522872545092026,0.9387457464213156,5
erbf,power_plant,0.5191527411515284,0.010950742165800477,0.9476514778687527,5
rf,power_plant,0.45094392858118326,0.010837991094686533,0.9468630963598421,5
ridge,power_plant,0.4537454568999671,0.005236218335837045,0.928522650410104,5
xgb,power_plant,0.7043399598444362,0.04376924222059693,0.9608046496140601,5
chebypoly,qm7,0.25129661115326474,0.033504025518931405,0.7739257068920595,5
chebytree,qm7,0.2458806141673496,0.029585488163854604,0.7689279970753178,5
dt,qm7,0.27428916648532353,0.03868884471695041,0.7376936139648136,5
erbf,qm7,0.2797068878880461,0.04471689875289095,0.7855933230144541,5
rf,qm7,0.2280870624122897,0.029201255183646684,0.7719601761697905,5
ridge,qm7,0.18013543872270057,0.027201859531084286,0.7462601394985928,5
xgb,qm7,0.34184110305391074,0.018751277549821182,0.7791666294058365,5
chebypoly,qsar_fish_toxicity,0.47843463588771656,0.07136029703133541,0.562400435697798,5
chebytree,qsar_fish_toxicity,0.4932230160018566,0.0673340638588509,0.5680343586952386,5
dt,qsar_fish_toxicity,0.5370340842524178,0.06303387749787068,0.5020427765067172,5
erbf,qsar_fish_toxicity,0.49262120855539254,0.047460452887340285,0.6144552424343399,5
rf,qsar_fish_toxicity,0.4663410074468707,0.065211547094082,0.6184931211236316,5
ridge,qsar_fish_toxicity,0.41298601518243866,0.04376752360915084,0.5600410491135975,5
xgb,qsar_fish_toxicity,0.6186824284524823,0.13496426720904808,0.5554202837302322,5
chebypoly,qsar_tid_11,0.3920527270686429,0.01096233474228432,0.409154620464416,5
chebytree,qsar_tid_11,0.47532719732033035,0.03644656736129797,0.5241248976016134,5
dt,qsar_tid_11,0.2976547405474257,0.022406861604768645,0.38829038374298885,5
erbf,qsar_tid_11,0.5541668643891073,0.060037451683912516,0.5328821030755906,5
rf,qsar_tid_11,0.2527443401093556,0.008299365489113147,0.46916675038155314,5
ridge,qsar_tid_11,8.361832278433754e-07,8.616649565923532e-07,0.3316197750715301,5
xgb,qsar_tid_11,0.5730372520847943,0.05479492204107033,0.5948767995574732,5
chebypoly,student_performance,0.46410803976943404,0.03664549440234282,0.27087326444772075,5
