model,dataset,d_effective,r2_val,lip_tail_ratio,lip_tail_ratio_q90,lip_q50,lip_q75,lip_q90,lip_q95,lip_q99,lip_mean,lip_std,violation_prob,per_point_max_q95,tau,n_anchors,median_perturbation_dist,n_probes,n_folds
chebytree,diabetes,10,0.47511967829459234,0.40418032821611405,0.22479942853914436,24.756826114490572,53.554781362606676,85.50018547734241,104.8182509365732,141.00647289573422,37.01309216684209,39.54670543494389,0.10204460333673818,163.3707853192957,16.773458866737748,88,0.18270285044109025,2652,5
dt,diabetes,10,0.3163211684625449,2.0043213737826426,2.0043213737826426,0.0,0.0,0.0,66.8803900798197,360.01327056472337,12.914328347534072,64.3242015037211,0.04476081035069799,414.53008836882134,16.322375067599655,88,0.18270285044109025,2652,5
erbf,diabetes,10,0.44765710026707256,0.44353618668605355,0.2596171392296465,11.208947186788475,19.848041301274304,30.86475334302768,39.693425267703084,58.33085081939571,14.437815744757893,12.839608380570102,0.004374361593462717,78.81053656085047,16.07978692233103,88,0.18270285044109025,2652,5
rf,diabetes,10,0.45131075162070144,0.568313908792933,0.3338980278147715,10.933978712648594,21.63579609575209,37.470416254552475,50.58390172661103,81.45190425552605,16.277722351703126,17.418519028893122,0.013156281920326866,101.98645908355351,14.772358329394027,88,0.18270285044109025,2652,5
ridge,diabetes,10,0.4795412782856353,0.2901524664923488,0.14795284720247254,11.44101945911407,18.930076419056228,26.48202925529756,30.549639303288927,37.52115781465382,13.00602201774544,9.25946636698898,0.0009039836567926455,41.29752543827738,16.044709828443494,88,0.18270285044109025,2652,5
xgb,diabetes,10,0.4252861904804794,0.6739821008976583,0.3444750365483469,14.518843125654678,50.441783815865804,100.5267919543235,134.85949073281967,222.60962171504625,35.12217538945507,50.17396170238553,0.1297684712291454,280.70926743515054,15.308168411254883,88,0.18270285044109025,2652,5
chebypoly,diamonds,6,0.9427333464524438,0.7860604406354377,0.49592346642421087,0.11123871705637227,0.28190834514829116,0.5674835968335096,0.809240268676285,1.876234169436915,0.2909552967197639,1.201934918290671,0.0043265306122448974,2.1043163167657823,0.29527643862345965,245,0.05613147698121758,7350,5
chebytree,diamonds,6,0.9431984605799141,0.8620586868048189,0.5290712867776509,0.13603291449935542,0.36241800170528615,0.8096099104341665,1.2854497708028743,2.8286099494960006,0.33243628439212053,0.6064665011668504,0.005360544217687075,4.014099712735629,0.2958974880908767,245,0.05613147698121758,7350,5
dt,diamonds,6,0.942012697673162,2.0043213737826426,2.0043213737826426,0.0,0.0,0.0,0.5749257012559464,3.4877261311405263,0.13092180877386614,0.7659816357292569,0.0020680272108843534,6.564594600437078,0.29520772915601856,245,0.05613147698121758,7350,5
erbf,diamonds,6,0.9450069844721364,0.7476494141152936,0.45240049757333906,0.10295673918697537,0.24532625305867883,0.49865153294324766,0.737843067432566,1.4384843227930795,0.20388400545760543,0.2894486972171942,0.0031020408163265306,2.1054525952629435,0.29549755947122286,245,0.05613147698121758,7350,5
rf,diamonds,6,0.9440740370287978,1.1587687357403311,0.6712013406556474,0.014504327480680937,0.08788169885571391,0.30092651629968314,0.5487059925503546,1.4737048063726566,0.11451674604080138,0.31456374802687953,0.00027210884353741496,2.4819241992619623,0.2948417119840959,245,0.05613147698121758,7350,5
