model,dataset,d_effective,r2_val,lip_tail_ratio,lip_tail_ratio_q90,lip_q50,lip_q75,lip_q90,lip_q95,lip_q99,lip_mean,lip_std,violation_prob,per_point_max_q95,per_point_max_q95_norm,tau,n_anchors,median_perturbation_dist,n_probes,n_folds
tabpfn,diabetes,10,0.48783793399361103,0.6177890824087285,0.27152287454818413,22.006108045062103,56.526636031076215,128.4505106698444,166.5288283279594,240.42814778122678,44.5777250434562,55.3486869774869,0.16814096016343205,290.40765779895503,5.278530356247362,16.576416,88,0.18270285044109025,2652,5
tabpfn,diamonds,6,0.947503902864332,0.631704167647629,0.38440516539024855,0.26777449799119407,0.5871815412951629,1.0574253384247299,1.4683529641591657,2.6032070106188945,0.447524850487499,0.5374490639334029,0.0009999999999999998,3.697299615764622,3.7262967175982253,0.2971954,100,0.050555417617485,3000,5
tabpfn,elevators,16,0.9291765390823323,0.711420120815055,0.43978602766212377,0.001855947754489708,0.004068124820234496,0.007804146371829181,0.011319599223848517,0.02188014161326358,0.00332238174817425,0.004434815652453667,0.07312169312169312,0.02852023170945487,4.401069628407799,0.0019238213,126,0.21038058184103905,3780,5
tabpfn,energy_efficiency_heating,8,0.9983216356167093,0.5536228136281702,0.32279763815089224,8.170819811542179,16.34548936402137,28.232258115394792,37.3914133007077,60.15389910515082,12.244865158792328,12.742097461218652,0.13606666666666667,80.688899424637,8.03072433297805,3.0101786,100,0.1281035490763071,3000,5
tabpfn,esol,7,0.9170647611070477,0.5790082522903747,0.35763715882198854,0.8031247053138433,1.5387332925780275,2.605408102442227,3.5351470563558736,6.018332343162696,1.1719809157227565,1.261096746646477,0.009,8.242015120456983,4.122310929571717,0.6000613,100,0.13208186223363913,3000,5
tabpfn,feynman_gaussian,2,0.9994180995422688,1.7818738303090196,1.3627832843555674,0.015097856494109047,0.05455261546996485,0.2767580815717775,0.9612196522670831,8.247101532463763,0.28794054087007565,1.5275446001533024,0.0,1.821727661786245,5.338839186720837,0.10221257,100,0.013565897505448139,3000,5
tabpfn,feynman_wave_interference,4,0.9987023211860595,0.5792190517102278,0.4319146262639161,1.4012279023909806,2.2649390476553255,3.2190379406445615,4.457763228899798,8.883536747673823,1.7301772809269036,1.6533310449819894,0.010600000000000002,8.490768640471714,2.8145853180626323,0.90038425,100,0.048229572724815796,3000,5
tabpfn,fiat_500_price,7,0.857401887396508,0.6862128492771469,0.4271607704137427,983.109215288356,2119.920458201599,3926.8954384378535,5516.563066189507,10492.954081299264,1690.474027871256,2509.0114016481143,0.09646666666666666,16178.615982129306,9.014534983711494,535.9593,100,0.14929849620116148,3000,5
tabpfn,freesolv,13,0.9362058769273928,0.4629572228207171,0.26702162357562015,1.782174283283286,3.3425968608537646,5.306268420925209,6.7951488464758665,9.922880683320532,2.397491025485162,2.2105197252558098,0.031133333333333336,12.51674532947186,3.3685322655554586,1.1217345,100,0.16662523284870873,3000,5
tabpfn,friedman1,5,0.9993853440153021,0.30800136650214477,0.17357500507832974,2.093705710412141,3.4167836466820694,4.681336546539683,5.531130234286609,7.014802030806817,2.36455189351963,1.6754552706337975,0.0006666666666666666,7.837925409337082,1.6595932523884371,1.4167979,100,0.09327570245728908,3000,5
tabpfn,friedman1_d100,16,0.9993949251687895,0.36760688259499297,0.2069037590659602,1.0546029223049964,1.8063410192435387,2.6346838052490513,3.1483934613714477,4.273860596040794,1.2638906045533802,0.9865613480165409,0.005133333333333333,5.143044135098555,1.0893509826037215,1.416962,100,0.2776739489064663,3000,5
tabpfn,healthcare_insurance,6,0.8571644740904176,0.5031610410531223,0.3152621582296483,51122.22645460768,86869.88357704121,135233.248846612,174416.24147466687,282542.9940572599,66168.23071967097,61274.74904990608,0.7654666666666667,474745.7665414529,42.96805368231466,3335.4207,100,0.1280374929011649,3000,5
tabpfn,house_16H,16,0.5833945193915855,1.0090857309676284,0.6876063221687475,0.20895108761963455,0.46680510468118364,1.0439384404089016,1.8504231610806663,5.316913436119334,0.4981477150296959,1.0704667691893133,0.0806378835978836,6.945126049033443,9.759626389878752,0.21050677,125,0.16414098262651816,3774,5
tabpfn,house_sales,14,0.9031620676979747,0.6368555072797779,0.3783845123719244,0.10092252029432043,0.20620087522308456,0.3815331473626353,0.5325401980359038,0.9265957178695958,0.16265234067488937,0.18892085802883235,0.013163841807909605,1.2929038502230987,2.584589828352521,0.15119445,118,0.16910413108122496,3540,5
tabpfn,lipophilicity,13,0.5934062582424128,0.5649451260099422,0.3385396933974073,0.6462409690091191,1.2873887299283147,2.2012087862180603,2.9369302250961082,4.8724597525235565,0.9549998610260928,1.0092730040261753,0.1178846153846154,5.460011439227418,6.069577919793291,0.27015933,104,0.14216100410810242,3120,5
tabpfn,medical_charges,3,0.9799857421007161,0.46212003432269944,0.23931906310578172,0.23638891419348437,0.4588822421551203,0.7752898782986062,0.9744033804940038,1.3555720687138815,0.33111262806016256,0.3076447568597399,0.0002,1.5411714571630015,2.759520270272519,0.17145476,100,0.03205109994835288,3000,5
tabpfn,nyc-taxi-green-dec-2016,8,0.5779725022463754,0.6599188926000801,0.37756187076642345,0.4610458953514103,1.0392789821965962,2.0362814355908996,2.8664795958532148,4.924328227637773,0.8202194576097929,1.0049135543022922,0.21226666666666666,6.3682496186375435,14.98859639561083,0.12933737,100,0.11878434140024585,3000,5
tabpfn,particulate-matter-ukair-2017,9,0.7438231454197965,0.5652403678072917,0.35021448332412214,3.6503303470730692,6.977941541920677,11.637200112404656,15.764558983953762,26.595987999958822,5.288158665123336,5.709964021462271,0.017066666666666667,34.85581863728498,3.3326845909878444,3.01611,100,0.1264686305971378,3000,5
